model,family,tier,task,tom_dimension,validated_age_band,dim_rank,date_years,release_date,n,n_correct,accuracy,wilson_lo,wilson_hi,chance,pass
openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,tom_12dim_mcq,White Lies / Prosocial Deception,6-8 yrs,8,0.5585215605749486,2024-07-23,2,2,1,0.34237195288961925,1,0.5,0
openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,tom_12dim_mcq,White Lies / Prosocial Deception,7-9 yrs,8,0.5585215605749486,2024-07-23,4,4,1,0.5100999795960008,1,0.5,1
openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,tom_12dim_mcq,White Lies / Prosocial Deception,8-10 yrs,8,0.5585215605749486,2024-07-23,1,1,1,0.20654329147389294,1,0.5,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Diverse Beliefs,3-4 yrs,1,0.9308692676249144,2024-12-06,6,6,1,0.6096569663469354,0.9999999999999999,0.5,1
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Diverse Beliefs,4-5 yrs,1,0.9308692676249144,2024-12-06,4,4,1,0.5100999795960008,1,0.5,1
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Diverse Desires,2-3 yrs,0,0.9308692676249144,2024-12-06,5,5,1,0.5655085052479191,1,0.5,1
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Diverse Desires,3-4 yrs,0,0.9308692676249144,2024-12-06,5,5,1,0.5655085052479191,1,0.5,1
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Emotion Recognition,3-4 yrs,3,0.9308692676249144,2024-12-06,4,4,1,0.5100999795960008,1,0.5,1
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Emotion Recognition,3-5 yrs,3,0.9308692676249144,2024-12-06,1,1,1,0.20654329147389294,1,0.5,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Emotion Recognition,4-6 yrs,3,0.9308692676249144,2024-12-06,1,1,1,0.20654329147389294,1,0.5,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Emotion Recognition,6-8 yrs,3,0.9308692676249144,2024-12-06,5,5,1,0.5655085052479191,1,0.5,1
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Emotion Recognition,6-9 yrs,3,0.9308692676249144,2024-12-06,1,1,1,0.20654329147389294,1,0.5,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Faux Pas Detection,10-12 yrs,10,0.9308692676249144,2024-12-06,2,2,1,0.34237195288961925,1,0.5,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Faux Pas Detection,9-11 yrs,10,0.9308692676249144,2024-12-06,8,8,1,0.6755843804891231,1,0.5,1
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,First-Order False Belief,4-5 yrs,4,0.9308692676249144,2024-12-06,9,9,1,0.7008472464490407,1,0.5,1
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,First-Order False Belief,5-6 yrs,4,0.9308692676249144,2024-12-06,3,3,1,0.43849391955098227,1,0.5,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Hidden Emotion (Appearance vs. Reality),4-6 yrs,6,0.9308692676249144,2024-12-06,2,2,1,0.34237195288961925,1,0.5,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Hidden Emotion (Appearance vs. Reality),6-8 yrs,6,0.9308692676249144,2024-12-06,6,6,1,0.6096569663469354,0.9999999999999999,0.5,1
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Hidden Emotion (Appearance vs. Reality),7-9 yrs,6,0.9308692676249144,2024-12-06,1,1,1,0.20654329147389294,1,0.5,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Hidden Emotion (Appearance vs. Reality),8-10 yrs,6,0.9308692676249144,2024-12-06,1,1,1,0.20654329147389294,1,0.5,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Intention vs. Accident,4-5 yrs,5,0.9308692676249144,2024-12-06,5,5,1,0.5655085052479191,1,0.5,1
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Intention vs. Accident,5-6 yrs,5,0.9308692676249144,2024-12-06,3,3,1,0.43849391955098227,1,0.5,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Intention vs. Accident,6-7 yrs,5,0.9308692676249144,2024-12-06,1,1,1,0.20654329147389294,1,0.5,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Intention vs. Accident,7-8 yrs,5,0.9308692676249144,2024-12-06,1,1,1,0.20654329147389294,1,0.5,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Irony,6-8 yrs,11,0.9308692676249144,2024-12-06,2,2,1,0.34237195288961925,1,0.5,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Irony,7-9 yrs,11,0.9308692676249144,2024-12-06,5,5,1,0.5655085052479191,1,0.5,1
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Irony,8-10 yrs,11,0.9308692676249144,2024-12-06,3,3,1,0.43849391955098227,1,0.5,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Knowledge Access / Ignorance,3-4 yrs,2,0.9308692676249144,2024-12-06,3,3,1,0.43849391955098227,1,0.5,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Knowledge Access / Ignorance,4-5 yrs,2,0.9308692676249144,2024-12-06,7,7,1,0.6456611570247934,1,0.5,1
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Sarcasm,6-8 yrs,9,0.9308692676249144,2024-12-06,4,4,1,0.5100999795960008,1,0.5,1
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Sarcasm,7-9 yrs,9,0.9308692676249144,2024-12-06,2,2,1,0.34237195288961925,1,0.5,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Sarcasm,8-10 yrs,9,0.9308692676249144,2024-12-06,3,3,1,0.43849391955098227,1,0.5,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Sarcasm,9-11 yrs,9,0.9308692676249144,2024-12-06,1,1,1,0.20654329147389294,1,0.5,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Second-Order False Belief,6-7 yrs,7,0.9308692676249144,2024-12-06,4,4,1,0.5100999795960008,1,0.5,1
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Second-Order False Belief,6-8 yrs,7,0.9308692676249144,2024-12-06,4,4,1,0.5100999795960008,1,0.5,1
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Second-Order False Belief,7-8 yrs,7,0.9308692676249144,2024-12-06,1,1,1,0.20654329147389294,1,0.5,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,Second-Order False Belief,7-9 yrs,7,0.9308692676249144,2024-12-06,1,1,1,0.20654329147389294,1,0.5,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,White Lies / Prosocial Deception,5-7 yrs,8,0.9308692676249144,2024-12-06,3,3,1,0.43849391955098227,1,0.5,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,White Lies / Prosocial Deception,6-8 yrs,8,0.9308692676249144,2024-12-06,2,2,1,0.34237195288961925,1,0.5,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,White Lies / Prosocial Deception,7-9 yrs,8,0.9308692676249144,2024-12-06,4,4,1,0.5100999795960008,1,0.5,1
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,White Lies / Prosocial Deception,8-10 yrs,8,0.9308692676249144,2024-12-06,1,1,1,0.20654329147389294,1,0.5,0
